src_addr_0,dst_addr_0,src_addr_1,dst_addr_1,src_addr_2,dst_addr_2,src_addr_3,dst_addr_3,src_addr_4,dst_addr_4,src_addr_5,dst_addr_5,src_addr_6,dst_addr_6,src_addr_7,dst_addr_7,traffic_class_1,flow_label_1,payload_length_1,next_header_1,hop_limit_1,traffic_class_2,flow_label_2,payload_length_2,next_header_2,hop_limit_2,traffic_class_3,flow_label_3,payload_length_3,next_header_3,hop_limit_3,traffic_class_4,flow_label_4,payload_length_4,next_header_4,hop_limit_4,traffic_class_5,flow_label_5,payload_length_5,next_header_5,hop_limit_5,label,group_number
32459,10821,21488,30913,34525,33311,24576,49304,1616,30858,40,59020,1593,3979,9220,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,8,1
32459,10821,21488,30913,34525,33311,24576,49304,1616,30858,40,59020,1593,3979,9220,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,3,1
32459,8163,21488,32443,34525,4609,24591,63744,1143,8161,58,61811,1597,51192,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,8,2
32459,8163,21488,32443,34525,4609,24591,63744,1143,8161,58,61811,1597,51192,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,3,2
32459,8163,21488,32443,34525,4609,24591,63744,1143,8161,95,61811,1597,51192,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,8,3
32459,8163,21488,32443,34525,4609,24591,63744,1143,8161,95,61811,1597,51192,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,3,3
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,5,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,5,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,6,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,6,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,7,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,7,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,8,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,8,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,4,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,4,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,2,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,2,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,3,4
32459,4764,21488,65464,34525,993,24576,65280,0,24807,1185,3592,4410,14789,8193,9216,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,198,840551,39529,16,14,3,4
